"Variable","All_Mean","All_SD","High_Mean","High_SD","Low_Mean","Low_SD"
"Male",0.53,0.5,0.56,0.5,0.5,0.5
"White",0.58,0.49,0.57,0.49,0.59,0.49
"Hispanic",0.15,0.36,0.16,0.37,0.15,0.35
"Black",0.13,0.33,0.12,0.33,0.13,0.34
"Married",0.58,0.49,0.58,0.49,0.58,0.49
"Years of education",14.09,2.89,14.08,2.92,14.11,2.86
"Family size",2.96,1.54,2.97,1.55,2.95,1.53
"Age",42.87,11.45,42.81,11.48,42.95,11.41
"Is licensed",0.27,0.44,0.3,0.46,0.24,0.43
"Is employed",0.97,0.18,0.97,0.17,0.96,0.19
"Weekly earnings",1027.45,642.28,1067.01,659.42,981.24,618.46
"State x Occ. Reg",7882.84,14002.5,14078.17,16747.7,646.42,521.13
