"original_country","age","n_work_home","daysemployer_work_home","daysemployee_work_home","WFH_expectations1","commuting_time","value_WFH_rawpercent25","WFHperceptions"
"Australia",40.706529209622,2.38496583143508,1.20476858345021,2.16151202749141,8.33686440677966,71.2164948453608,6.37628865979381,45.8969072164949
"Austria",40.7534246575342,1.36217948717949,0.754385964912281,1.54794520547945,6.34551495016611,59.7412480974125,3.76331811263318,39.4063926940639
"Brazil",37.708446866485,1.59443631039531,0.741140215716487,2.32425068119891,9.42363112391931,73.8610354223433,7.30926430517711,49.4891008174387
"Canada",41.0402234636872,2.37884378843788,1.06844547563805,2.28379888268156,7.15568862275449,56.6435754189944,5.6145251396648,38.9106145251397
"China",35.5247890295359,1.36651835372636,0.651125401929261,1.36392405063291,4.125,98.5685654008438,5.72257383966245,37.162447257384
"Egypt",38.2162698412698,1.01728395061728,0.619469026548673,2.1547619047619,7.4124513618677,80.4761904761905,8.59623015873016,45.0694444444444
"France",40.9324925816024,1.2877358490566,0.586872586872586,1.34421364985163,7.30263157894737,54.0244807121662,1.90838278931751,31.7804154302671
"Germany",41.6417260490895,1.36479277800574,0.713936430317848,1.56690419635788,5.91487279843444,56.0463182897863,3.54908946951703,33.1571654790182
"Greece",41.1851119894598,1.57541100786276,0.497847919655667,1.74505928853755,6.15519253208868,55.1791831357048,5.30797101449276,33.2476943346509
"Hungary",40.7057371992597,1.67648984937787,0.697718631178707,1.68476249228871,6.39175257731959,58.4608266502159,5.48581122763726,32.1067242442936
"India",34.819587628866,3.29974160206718,2.26800847457627,2.64226804123711,10.9868421052632,97.6072164948454,9.21649484536082,60.0927835051546
"Italy",41.4032258064516,1.66666666666667,0.645381984036488,1.77311827956989,8.56164383561644,49.6129032258064,5.86290322580645,35.1720430107527
"Japan",40.9318181818182,1.16802610114192,0.608258928571429,1.49891774891775,5.22304832713755,72.4383116883117,3.79599567099567,25.6114718614719
"Korea",41.3127874885005,0.822243346007605,0.577386468952734,1.442502299908,6.52439024390244,79.7608095676173,4.14213431462742,43.951241950322
"Malaysia",37.3152173913044,2.46153846153846,1.09528585757272,2.08695652173913,5.70544554455446,64.4229249011858,4.80237154150198,36.0079051383399
"Netherlands",40.4157353598569,2.0453667953668,1.08974358974359,1.6678587393831,8.35463258785942,68.1797049620027,4.1685292802861,36.9311578006258
"Poland",39.222288795686,1.34814275309541,0.675492610837439,1.4877171959257,7.44776119402985,49.7225883762732,2.95686039544638,25.407429598562
"Russia",39.8029661016949,1.39825897714907,0.898360655737705,2.15677966101695,6.38783269961977,68.1334745762712,6.02489406779661,24.5233050847458
"Serbia",41.8674698795181,1.01294117647059,0.34006734006734,1.82256297918949,4.60240963855422,53.7415115005477,9.46330777656079,26.6703176341731
"Singapore",40.3213572854291,2.88474576271186,1.38638638638639,2.57884231536926,7.25343320848939,90.8293413173653,6.07035928143712,45.7984031936128
"Spain",39.4147952443857,1.61081081081081,0.841095890410959,2.13738441215324,8.75930521091811,52.556142668428,5.37648612945839,45.330250990753
"Sweden",41.4353741496599,1.56907308377897,0.597750865051903,1.79634353741497,8.98921832884096,53.9710884353741,5.35714285714286,42.3511904761905
"Taiwan",40.0805687203791,0.986551392891451,0.439729990356798,1.49383886255924,1.2125,57.0701421800948,0.554502369668246,22.4265402843602
"Turkey",38.0945104697227,2.16990291262136,0.951105937136205,2.13695529145444,9.27065767284992,69.3372948500283,8.51867572156196,49.1058290888512
"UK",42.0366422385077,2.18768115942029,1.10965517241379,2.09060626249167,8.37611607142857,64.1692205196536,4.92338441039307,39.3604263824117
"USA",40.97594997595,1.6267942583732,0.812000000000001,2.09331409331409,8.06763285024154,47.5670995670995,5.74074074074074,38.6411736411736
"Ukraine",38.2075362318841,1.51575046324892,0.582458307597282,2.04579710144928,5.40306122448979,68.4168115942029,13,31.663768115942
